Albania,5
Algeria,28
Argentina,17
Australia,58
Austria,21
Azerbaijan,31
Bahrain,24
Bolivia,12
Brazil,21
Chile,17
Colombia,20
Congo (Brazzaville),17
Costa Rica,18
Croatia,23
Cuba,12
Cyprus,22
Czechia,16
Denmark,14
Dominican Republic,19
Ecuador,16
El Salvador,1
Eritrea,13
Fiji,2
Finland,59
France,54
Germany,54
Ghana,17
Greece,27
Honduras,7
Hungary,25
India,56
Indonesia,25
Iraq,28
Ireland,13
Israel,42
Italy,39
Japan,77
Jordan,19
Kuwait,20
Lebanon,24
Liberia,8
Lithuania,18
Luxembourg,17
Madagascar,4
Malaysia,54
Mexico,25
Montenegro,8
Morocco,18
Nepal,60
Netherlands,19
New Zealand,28
Nigeria,32
Norway,16
Oman,47
Pakistan,26
Panama,16
Papua New Guinea,5
Paraguay,13
Peru,11
Philippines,46
Poland,10
Portugal,18
Qatar,12
Romania,29
Russia,60
Rwanda,8
San Marino,17
Saudi Arabia,25
Serbia,10
Singapore,76
South Africa,22
Spain,43
Thailand,64
Tunisia,19
Ukraine,15
United Arab Emirates,58
United Kingdom,54
US,58
Venezuela,4
Zimbabwe,11
Libya,1
Botswana,4
