Pais,Superficie,Poblacion,Namerica,Samerica,Europa,Asia,Oceania,Africa,PIB,Porcentaje de PIB en salud,Cuarentena
Albania,28748.0,2845955.0,0, 0, 1, 0, 0, 0,15418.0,2.77,5.0
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,172781.0,4.5,28.0
Argentina,2780400.0,44938712.0,0, 1, 0, 0, 0, 0,445469.0,5.62,17.0
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,1376255.0,6.41,58.0
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,447718.0,7.72,21.0
Azerbaijan,86600.0,10067108.0,0, 0, 0, 1, 0, 0,47171.0,1.38,31.0
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,38184.0,2.99,24.0
Bolivia,1098581.0,11469896.0,0, 1, 0, 0, 0, 0,42401.0,4.51,12.0
Brazil,8515767.0,211336713.0,0, 1, 0, 0, 0, 0,1847020.0,3.96,21.0
Chile,756102.0,19107216.0,0, 1, 0, 0, 0, 0,294237.0,5.2,17.0
Colombia,1141748.0,49395678.0,0, 1, 0, 0, 0, 0,327895.0,5.31,20.0
Congo (Brazzaville),342000.0,5518092.0,0, 0, 0, 0, 0, 1,11576.0,1.96,17.0
Costa Rica,51100.0,5058007.0,1, 0, 0, 0, 0, 0,61021.0,5.66,18.0
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,60702.0,5.62,23.0
Cuba,109884.0,11209628.0,1, 0, 0, 0, 0, 0,100023.0,10.92,12.0
Cyprus,9251.0,875900.0,0, 0, 0, 1, 0, 0,24280.0,2.9,22.0
Czechia,78865.0,10693939.0,0, 0, 1, 0, 0, 0,246953.0,6.21,16.0
Denmark,2209180.0,5822763.0,0, 0, 1, 0, 0, 0,347176.0,8.84,14.0
Dominican Republic,48671.0,10358320.0,1, 0, 0, 0, 0, 0,89475.0,2.82,19.0
Ecuador,276841.0,17456724.0,0, 1, 0, 0, 0, 0,107914.0,4.29,16.0
El Salvador,21041.0,6486201.0,1, 0, 0, 0, 0, 0,26871.0,4.49,1.0
Eritrea,117600.0,3497117.0,0, 0, 0, 0, 0, 1,2110.0,0.86,13.0
Fiji,18272.0,884887.0,0, 0, 0, 0, 1, 0,5708.0,2.21,2.0
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,269654.0,6.84,59.0
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,2707074.0,9.32,54.0
Germany,357114.0,83149300.0,0, 0, 1, 0, 0, 0,3863344.0,9.48,54.0
Ghana,238533.0,30280811.0,0, 0, 0, 0, 0, 1,67077.0,1.71,17.0
Greece,131957.0,10724599.0,0, 0, 1, 0, 0, 0,214012.0,4.73,27.0
Honduras,112492.0,9158345.0,1, 0, 0, 0, 0, 0,24449.0,3.86,7.0
Hungary,93028.0,9772756.0,0, 0, 1, 0, 0, 0,170407.0,4.64,25.0
India,3287263.0,1360537008.0,0, 0, 0, 1, 0, 0,2935570.0,0.9,56.0
Indonesia,1910931.0,266911900.0,0, 0, 0, 1, 0, 0,1111713.0,1.42,25.0
Iraq,438317.0,39127900.0,0, 0, 0, 1, 0, 0,224462.0,0.7,28.0
Ireland,70273.0,4921500.0,0, 0, 1, 0, 0, 0,384940.0,5.27,13.0
Israel,20770.0,9180000.0,0, 0, 0, 1, 0, 0,387717.0,4.76,42.0
Italy,301339.0,60243406.0,0, 0, 1, 0, 0, 0,1988636.0,6.54,39.0
Japan,377975.0,125950000.0,0, 0, 0, 1, 0, 0,5154475.0,9.18,77.0
Jordan,89342.0,10649396.0,0, 0, 0, 1, 0, 0,44172.0,3.46,19.0
Kuwait,17818.0,4420110.0,0, 0, 0, 1, 0, 0,137591.0,3.27,20.0
Lebanon,10452.0,6825442.0,0, 0, 0, 1, 0, 0,58565.0,4.18,24.0
Liberia,111369.0,4475353.0,0, 0, 0, 0, 0, 1,3221.0,1.37,8.0
Lithuania,65300.0,2793471.0,0, 0, 1, 0, 0, 0,53641.0,4.53,18.0
Luxembourg,2586.0,613894.0,0, 0, 1, 0, 0, 0,69453.0,4.54,17.0
Madagascar,587041.0,26251309.0,0, 0, 0, 0, 0, 1,12550.0,2.86,4.0
Malaysia,330803.0,32737760.0,0, 0, 0, 1, 0, 0,365303.0,1.92,54.0
Mexico,1964375.0,126577691.0,1, 0, 0, 0, 0, 0,1274175.0,2.81,25.0
Montenegro,13812.0,622359.0,0, 0, 1, 0, 0, 0,5424.0,5.73,8.0
Morocco,446550.0,35856703.0,0, 0, 0, 0, 0, 1,119040.0,2.74,18.0
Nepal,147181.0,29996478.0,0, 0, 0, 1, 0, 0,29813.0,1.17,60.0
Netherlands,41850.0,17451031.0,0, 0, 1, 0, 0, 0,902355.0,8.16,19.0
New Zealand,270467.0,4974995.0,0, 0, 0, 0, 1, 0,204671.0,7.4,28.0
Nigeria,923768.0,206139587.0,0, 0, 0, 0, 0, 1,446543.0,0.47,32.0
Norway,323802.0,5367580.0,0, 0, 1, 0, 0, 0,417627.0,8.7,16.0
Oman,309500.0,4664790.0,0, 0, 0, 1, 0, 0,76609.0,3.83,47.0
Pakistan,907132.0,219148520.0,0, 0, 0, 1, 0, 0,284214.0,0.77,26.0
Panama,75417.0,4218808.0,1, 0, 0, 0, 0, 0,68536.0,4.76,16.0
Papua New Guinea,462840.0,8935000.0,0, 0, 0, 0, 1, 0,23587.0,1.38,5.0
Paraguay,406752.0,7152703.0,0, 1, 0, 0, 0, 0,40714.0,4.14,13.0
Peru,1285216.0,32131400.0,0, 1, 0, 0, 0, 0,228989.0,3.3,11.0
Philippines,300000.0,108486472.0,0, 0, 0, 1, 0, 0,356814.0,1.38,46.0
Poland,312696.0,38379000.0,0, 0, 1, 0, 0, 0,565854.0,4.51,10.0
Portugal,92090.0,10276617.0,0, 0, 1, 0, 0, 0,236408.0,6.05,18.0
Qatar,11586.0,2747282.0,0, 0, 0, 1, 0, 0,191849.0,2.51,12.0
Romania,238397.0,19405156.0,0, 0, 1, 0, 0, 0,243698.0,3.89,29.0
Russia,17098246.0,146745098.0,0, 0, 1, 0, 0, 0,1637892.0,3.0,60.0
Rwanda,26338.0,12374397.0,0, 0, 0, 0, 0, 1,10209.0,2.29,8.0
San Marino,61.0,33574.0,0, 0, 1, 0, 0, 0,1591.0,5.14,17.0
Saudi Arabia,2149690.0,34218169.0,0, 0, 0, 1, 0, 0,779289.0,3.89,25.0
Serbia,88361.0,6963764.0,0, 0, 1, 0, 0, 0,51523.0,5.3,10.0
Singapore,716.0,5703600.0,0, 0, 0, 1, 0, 0,362818.0,2.44,76.0
South Africa,1221037.0,58775022.0,0, 0, 0, 0, 0, 1,358839.0,3.47,22.0
Spain,505992.0,47100396.0,0, 0, 1, 0, 0, 0,1397870.0,6.24,43.0
Thailand,513120.0,66488605.0,0, 0, 0, 1, 0, 0,529177.0,2.9,64.0
Tunisia,163610.0,11722038.0,0, 0, 0, 0, 0, 1,38732.0,3.94,19.0
Ukraine,603500.0,41879904.0,0, 0, 1, 0, 0, 0,150401.0,2.85,15.0
United Arab Emirates,83600.0,9890400.0,0, 0, 0, 1, 0, 0,405771.0,2.55,58.0
United Kingdom,242495.0,66435550.0,0, 0, 1, 0, 0, 0,2743586.0,7.53,54.0
US,9525067.0,329556365.0,1, 0, 0, 0, 0, 0,21439453.0,14.32,58.0
Venezuela,916445.0,32219521.0,0, 1, 0, 0, 0, 0,70140.0,0.77,4.0
Zimbabwe,390757.0,15159624.0,0, 0, 0, 0, 0, 1,12818.0,4.38,11.0
Libya,1759540.0,6871287.0,0, 0, 0, 0, 0, 1,33018.0,3.83,1.0
Botswana,581730.0,2338851.0,0, 0, 0, 0, 0, 1,18690.0,3.06,4.0
